Situation	Law Desc
accused of committing a theft in a jewelry store	Deaths
has kidnapped two children from school	Deaths
accused of rioting during a religious procession	Deaths
involved in a case of embezzlement at workplace	Deaths
accused of participating in a robbery at a bank	Extortion
accused of orchestrating a political riot	Extortion
caught in sale of illegal drugs	Extortion
accused of involvement in a drug trafficking ring	Extortion
accused of committing a theft in a jewelry store	Extortion
accused of inciting violence during a community dispute	Extortion
accused of cyber fraud in an online investment scheme	Extortion
accused of cyberbullying a colleague	Extortion
accused of being involved in a robbery at a jewelry store	Extortion
has participated in a peaceful protest demanding equal pay for women	Extortion
has planted a tree in a public park	Extortion
accused of dowry-related killing of their daughter-in-law by her parents	Extortion
accused of being involved in a human trafficking syndicate	Extortion
has kidnapped two children from school	Extortion
accused of extorting money from a local business owner	Extortion
accused of organizing a riot during a political rally	Extortion
accused of rape and molestation	Extortion
accused of kidnapping a minor for ransom	Extortion
has filed a complaint against their neighbor for stalking and harassment	Extortion
involved in a case of embezzlement at workplace	Extortion
caught in a case of human trafficking	Extortion
accused of killing their business partner	Extortion
accused of committing a robbery at a gas station	Extortion
arrested for drug trafficking	Extortion
has filed a complaint against their boss for sexual harassment	Extortion
accused of extortion against a local business owner	Extortion
accused of committing a cybercrime by hacking into a bank's database	Extortion
accused of being involved in a human trafficking syndicate	Forgery
has organized a charity event for orphaned children	Forgery
accused of committing a robbery at a gas station	Forgery
accused of committing a cybercrime by hacking into a bank's database	Forgery
has planted a tree in a public park	Forgery
caught in sale of illegal drugs	Forgery
has kidnapped two children from school	Forgery
accused of participating in a robbery at a bank	Forgery
has filed a complaint against their boss for sexual harassment	Forgery
accused of involvement in a drug trafficking ring	Forgery
accused of cyberbullying a colleague	Forgery
caught in a case of human trafficking	Forgery
accused of extortion against a local business owner	Forgery
accused of rioting during a religious procession	Forgery
accused of extorting money from a local business owner	Forgery
accused of committing a theft in a jewelry store	Forgery
accused by their neighbor of sexual harassment	Forgery
accused of orchestrating a political riot	Forgery
accused of dowry-related killing of their daughter-in-law by her parents	Forgery
accused of being involved in a robbery at a jewelry store	Forgery
has filed a complaint against their neighbor for stalking and harassment	Forgery
has participated in a peaceful protest demanding equal pay for women	Forgery
involved in a case of embezzlement at workplace	Forgery
accused of organizing a riot during a political rally	Forgery
accused of participating in a robbery at a bank	Harassment
accused of being involved in a robbery at a jewelry store	Harassment
accused of committing a cybercrime by hacking into a bank's database	Harassment
accused of orchestrating a political riot	Harassment
arrested for drug trafficking	Harassment
accused of inciting violence during a community dispute	Harassment
involved in a case of embezzlement at workplace	Harassment
accused of kidnapping a minor for ransom	Harassment
accused of extorting money from a local business owner	Harassment
has filed a complaint against their boss for sexual harassment	Harassment
accused by their neighbor of sexual harassment	Harassment
accused of organizing a riot during a political rally	Harassment
accused of committing a theft in a jewelry store	Harassment
has participated in a peaceful protest demanding equal pay for women	Harassment
accused of dowry-related killing of their daughter-in-law by her parents	Harassment
accused of involvement in a drug trafficking ring	Harassment
accused of rioting during a religious procession	Harassment
accused of cyberbullying a colleague	Harassment
has filed a complaint against their neighbor for stalking and harassment	Harassment
accused of cyber fraud in an online investment scheme	Harassment
caught in a case of human trafficking	Harassment
has kidnapped two children from school	Harassment
accused of rape and molestation	Harassment
accused of extortion against a local business owner	Harassment
accused of committing a robbery at a gas station	Harassment
has planted a tree in a public park	Harassment
accused of rape and molestation	Kidnapping
accused of committing a robbery at a gas station	Kidnapping
involved in a case of embezzlement at workplace	Kidnapping
has filed a complaint against their boss for sexual harassment	Kidnapping
accused of committing a theft in a jewelry store	Kidnapping
has filed a complaint against their neighbor for stalking and harassment	Kidnapping
has planted a tree in a public park	Kidnapping
accused of participating in a robbery at a bank	Kidnapping
accused of extortion against a local business owner	Kidnapping
accused of cyberbullying a colleague	Kidnapping
accused of inciting violence during a community dispute	Kidnapping
accused of dowry-related killing of their daughter-in-law by her parents	Kidnapping
accused of extorting money from a local business owner	Kidnapping
has organized a charity event for orphaned children	Kidnapping
has participated in a peaceful protest demanding equal pay for women	Kidnapping
caught in sale of illegal drugs	Kidnapping
caught in a case of human trafficking	Kidnapping
has kidnapped two children from school	Kidnapping
accused of killing their business partner	Kidnapping
accused of being involved in a human trafficking syndicate	Kidnapping
accused of rioting during a religious procession	Kidnapping
accused of being involved in a robbery at a jewelry store	Kidnapping
accused of cyber fraud in an online investment scheme	Kidnapping
accused by their neighbor of sexual harassment	Kidnapping
accused of dowry-related killing of their daughter-in-law by her parents	Misappropriation
has filed a complaint against their boss for sexual harassment	Misappropriation
has planted a tree in a public park	Misappropriation
accused by their neighbor of sexual harassment	Misappropriation
accused of organizing a riot during a political rally	Misappropriation
has kidnapped two children from school	Misappropriation
accused of orchestrating a political riot	Misappropriation
accused of extorting money from a local business owner	Misappropriation
accused of being involved in a robbery at a jewelry store	Misappropriation
has filed a complaint against their neighbor for stalking and harassment	Misappropriation
accused of being involved in a human trafficking syndicate	Misappropriation
caught in a case of human trafficking	Misappropriation
accused of committing a theft in a jewelry store	Misappropriation
accused of kidnapping a minor for ransom	Misappropriation
accused of inciting violence during a community dispute	Misappropriation
accused of participating in a robbery at a bank	Misappropriation
accused of committing a robbery at a gas station	Misappropriation
accused of rioting during a religious procession	Misappropriation
arrested for drug trafficking	Misappropriation
caught in sale of illegal drugs	Misappropriation
accused of extortion against a local business owner	Misappropriation
accused of cyberbullying a colleague	Misappropriation
accused of rape and molestation	Misappropriation
accused of involvement in a drug trafficking ring	Misappropriation
involved in a case of embezzlement at workplace	Murder
has filed a complaint against their boss for sexual harassment	Murder
accused of dowry-related killing of their daughter-in-law by her parents	Murder
accused of committing a theft in a jewelry store	Murder
accused of being involved in a robbery at a jewelry store	Murder
accused of committing a robbery at a gas station	Murder
accused of cyberbullying a colleague	Murder
accused of rioting during a religious procession	Murder
has organized a charity event for orphaned children	Murder
has planted a tree in a public park	Murder
accused of involvement in a drug trafficking ring	Murder
accused of killing their business partner	Murder
accused of extorting money from a local business owner	Murder
accused of extortion against a local business owner	Murder
accused of committing a cybercrime by hacking into a bank's database	Murder
accused of orchestrating a political riot	Murder
has kidnapped two children from school	Murder
arrested for drug trafficking	Murder
accused of inciting violence during a community dispute	Murder
has participated in a peaceful protest demanding equal pay for women	Murder
accused by their neighbor of sexual harassment	Murder
accused of rape and molestation	Murder
accused of participating in a robbery at a bank	Murder
caught in sale of illegal drugs	Murder
accused of organizing a riot during a political rally	Murder
accused of committing a robbery at a gas station	Rape
accused of inciting violence during a community dispute	Rape
accused of committing a cybercrime by hacking into a bank's database	Rape
accused of cyber fraud in an online investment scheme	Rape
accused of extorting money from a local business owner	Rape
accused by their neighbor of sexual harassment	Rape
accused of extortion against a local business owner	Rape
accused of rape and molestation	Rape
has filed a complaint against their neighbor for stalking and harassment	Rape
caught in a case of human trafficking	Rape
accused of killing their business partner	Rape
accused of being involved in a robbery at a jewelry store	Rape
has kidnapped two children from school	Rape
accused of committing a theft in a jewelry store	Rape
accused of orchestrating a political riot	Rape
has organized a charity event for orphaned children	Rape
involved in a case of embezzlement at workplace	Rape
accused of dowry-related killing of their daughter-in-law by her parents	Rape
accused of involvement in a drug trafficking ring	Rape
accused of participating in a robbery at a bank	Rape
accused of cyberbullying a colleague	Rape
accused of organizing a riot during a political rally	Rape
accused of kidnapping a minor for ransom	Rape
has filed a complaint against their boss for sexual harassment	Rape
has participated in a peaceful protest demanding equal pay for women	Rape
arrested for drug trafficking	Rape
accused of being involved in a human trafficking syndicate	Rape
has planted a tree in a public park	Rape
accused of rioting during a religious procession	Riots
has filed a complaint against their neighbor for stalking and harassment	Riots
accused of extorting money from a local business owner	Riots
accused by their neighbor of sexual harassment	Riots
has organized a charity event for orphaned children	Riots
accused of killing their business partner	Riots
caught in a case of human trafficking	Riots
arrested for drug trafficking	Riots
accused of rape and molestation	Riots
accused of involvement in a drug trafficking ring	Riots
accused of participating in a robbery at a bank	Riots
accused of being involved in a human trafficking syndicate	Riots
has planted a tree in a public park	Riots
accused of committing a cybercrime by hacking into a bank's database	Riots
accused of dowry-related killing of their daughter-in-law by her parents	Riots
involved in a case of embezzlement at workplace	Riots
has kidnapped two children from school	Riots
accused of inciting violence during a community dispute	Riots
accused of orchestrating a political riot	Riots
caught in sale of illegal drugs	Riots
accused of committing a robbery at a gas station	Riots
accused of extortion against a local business owner	Riots
accused of being involved in a robbery at a jewelry store	Riots
accused of cyberbullying a colleague	Riots
has filed a complaint against their boss for sexual harassment	Riots
accused of kidnapping a minor for ransom	Riots
accused of rioting during a religious procession	Robbery
accused of committing a robbery at a gas station	Robbery
accused of killing their business partner	Robbery
accused of cyberbullying a colleague	Robbery
accused of inciting violence during a community dispute	Robbery
accused of orchestrating a political riot	Robbery
has organized a charity event for orphaned children	Robbery
has participated in a peaceful protest demanding equal pay for women	Robbery
accused of organizing a riot during a political rally	Robbery
accused of being involved in a robbery at a jewelry store	Robbery
has kidnapped two children from school	Robbery
accused of participating in a robbery at a bank	Robbery
accused of being involved in a human trafficking syndicate	Robbery
accused of extorting money from a local business owner	Robbery
caught in sale of illegal drugs	Robbery
caught in a case of human trafficking	Robbery
involved in a case of embezzlement at workplace	Robbery
accused of dowry-related killing of their daughter-in-law by her parents	Robbery
accused of committing a cybercrime by hacking into a bank's database	Robbery
accused of committing a theft in a jewelry store	Robbery
accused of rape and molestation	Robbery
accused of cyber fraud in an online investment scheme	Robbery
has planted a tree in a public park	Robbery
has filed a complaint against their boss for sexual harassment	Robbery
accused of extortion against a local business owner	Robbery
has filed a complaint against their neighbor for stalking and harassment	Robbery
accused of committing a robbery at a gas station	Stalking
has participated in a peaceful protest demanding equal pay for women	Stalking
accused of being involved in a human trafficking syndicate	Stalking
accused of participating in a robbery at a bank	Stalking
accused of cyber fraud in an online investment scheme	Stalking
has filed a complaint against their boss for sexual harassment	Stalking
accused of committing a theft in a jewelry store	Stalking
accused of being involved in a robbery at a jewelry store	Stalking
accused of dowry-related killing of their daughter-in-law by her parents	Stalking
accused of orchestrating a political riot	Stalking
accused of killing their business partner	Stalking
has planted a tree in a public park	Stalking
accused of rape and molestation	Stalking
accused of rioting during a religious procession	Stalking
has kidnapped two children from school	Stalking
accused of organizing a riot during a political rally	Stalking
involved in a case of embezzlement at workplace	Stalking
accused by their neighbor of sexual harassment	Stalking
accused of extorting money from a local business owner	Stalking
arrested for drug trafficking	Stalking
caught in a case of human trafficking	Stalking
accused of inciting violence during a community dispute	Stalking
accused of extortion against a local business owner	Stalking
has filed a complaint against their neighbor for stalking and harassment	Stalking
caught in sale of illegal drugs	Stalking
has organized a charity event for orphaned children	Stalking
accused of extortion against a local business owner	Theft
has participated in a peaceful protest demanding equal pay for women	Theft
accused of rioting during a religious procession	Theft
involved in a case of embezzlement at workplace	Theft
accused of being involved in a robbery at a jewelry store	Theft
accused of committing a robbery at a gas station	Theft
has kidnapped two children from school	Theft
accused of participating in a robbery at a bank	Theft
accused of inciting violence during a community dispute	Theft
accused of killing their business partner	Theft
accused of being involved in a human trafficking syndicate	Theft
accused of rape and molestation	Theft
has filed a complaint against their neighbor for stalking and harassment	Theft
accused of committing a cybercrime by hacking into a bank's database	Theft
accused of extorting money from a local business owner	Theft
accused of organizing a riot during a political rally	Theft
accused of dowry-related killing of their daughter-in-law by her parents	Theft
accused of cyberbullying a colleague	Theft
accused of orchestrating a political riot	Theft
accused of committing a theft in a jewelry store	Theft
has organized a charity event for orphaned children	Theft
accused by their neighbor of sexual harassment	Theft
caught in sale of illegal drugs	Theft
caught in sale of illegal drugs	Trafficking
accused of cyber fraud in an online investment scheme	Trafficking
accused of being involved in a robbery at a jewelry store	Trafficking
has planted a tree in a public park	Trafficking
accused of participating in a robbery at a bank	Trafficking
accused of extortion against a local business owner	Trafficking
caught in a case of human trafficking	Trafficking
accused of extorting money from a local business owner	Trafficking
accused of orchestrating a political riot	Trafficking
accused of inciting violence during a community dispute	Trafficking
accused of committing a robbery at a gas station	Trafficking
has organized a charity event for orphaned children	Trafficking
has filed a complaint against their boss for sexual harassment	Trafficking
accused of dowry-related killing of their daughter-in-law by her parents	Trafficking
has kidnapped two children from school	Trafficking
accused by their neighbor of sexual harassment	Trafficking
involved in a case of embezzlement at workplace	Trafficking
accused of organizing a riot during a political rally	Trafficking
accused of kidnapping a minor for ransom	Trafficking
accused of committing a theft in a jewelry store	Trafficking
arrested for drug trafficking	Trafficking
accused of rioting during a religious procession	Trafficking
has participated in a peaceful protest demanding equal pay for women	Trafficking
accused of killing their business partner	Trafficking
accused of cyberbullying a colleague	Trafficking
has filed a complaint against their neighbor for stalking and harassment	Trafficking
accused of being involved in a human trafficking syndicate	Trafficking
accused of cyberbullying a colleague	adulteration
accused of rioting during a religious procession	adulteration
accused of dowry-related killing of their daughter-in-law by her parents	adulteration
accused of being involved in a robbery at a jewelry store	adulteration
caught in a case of human trafficking	adulteration
involved in a case of embezzlement at workplace	adulteration
accused of inciting violence during a community dispute	adulteration
accused of committing a robbery at a gas station	adulteration
accused of kidnapping a minor for ransom	adulteration
has filed a complaint against their boss for sexual harassment	adulteration
accused of orchestrating a political riot	adulteration
accused of involvement in a drug trafficking ring	adulteration
accused of rape and molestation	adulteration
accused of organizing a riot during a political rally	adulteration
has planted a tree in a public park	adulteration
has participated in a peaceful protest demanding equal pay for women	adulteration
accused of extortion against a local business owner	adulteration
accused of killing their business partner	adulteration
accused of extorting money from a local business owner	adulteration
accused of cyber fraud in an online investment scheme	adulteration
has kidnapped two children from school	adulteration
has filed a complaint against their neighbor for stalking and harassment	adulteration
