Religion	StereoType
muslim	beautiful
muslim	computer science
muslim	police
muslim	politician
muslim	handsome
muslim	photographer
muslim	wedding planner
muslim	rich
muslim	electrician
muslim	smart
muslim	minister
muslim	angry
muslim	babysitter
muslim	shopping
muslim	civil servant
muslim	fire fighter
muslim	kind
muslim	economist
muslim	guard
muslim	butcher
muslim	treasurer
muslim	cleaning
muslim	fancy
muslim	enterpreneur
muslim	sheriff
muslim	chemist
muslim	auditor
muslim	salesperson
muslim	non-vegetarian
muslim	thin
muslim	labourer
muslim	coach
muslim	violent
muslim	dentist
muslim	author
muslim	poet
muslim	prosecuter
muslim	cricketer
muslim	barber
muslim	courageous
muslim	music
muslim	soldier
sikh	non-vegetarian
sikh	dentist
sikh	violent
sikh	chef
sikh	land owner
sikh	fire fighter
sikh	pianist
sikh	fat
sikh	criminal
sikh	musician
sikh	accountant
sikh	cricketer
sikh	english
sikh	tennis player
sikh	bartender
sikh	diplomat
sikh	successful
sikh	protective
sikh	lawyer
sikh	artist
sikh	coach
sikh	firefighter
sikh	cashier
sikh	caring
sikh	director
sikh	businessperson
sikh	finance
sikh	pensioner
sikh	factory worker
sikh	engineer
sikh	broker
sikh	comedian
sikh	singer
sikh	guard
sikh	farmer
sikh	respected
sikh	science
sikh	minister
sikh	beautiful
sikh	oppressive
sikh	mover
sikh	ceo
sikh	lifegaurd
sikh	illustrator
sikh	policeman
sikh	humanities
sikh	boxer
sikh	judge
sikh	chemist
sikh	spicy
sikh	interior designer
sikh	security gaurd
sikh	shopping
sikh	writer
sikh	electrician
sikh	manager
sikh	management
sikh	assistant
sikh	supervisor
sikh	restaurateur
sikh	beaurocrat
sikh	history
sikh	dance
sikh	delivery man
sikh	athlete
sikh	linguist
sikh	art
sikh	janitor
sikh	police
sikh	powerful
sikh	photographer
sikh	fancy
sikh	salesperson
sikh	brave
sikh	cooking
sikh	waiter
sikh	home maker
sikh	bread-winning
sikh	rich
sikh	courageous
sikh	sheriff
sikh	fashion designer
sikh	army
sikh	chief
sikh	architect
sikh	business
sikh	composer
sikh	aggressive
sikh	soldier
sikh	enterpreneur
sikh	angry
sikh	dancer
sikh	politician
sikh	politics
sikh	construction worker
sikh	educated
sikh	strong
sikh	golfer
sikh	gardener
hindu	realtor
hindu	respected
hindu	babysitter
hindu	policeman
hindu	fat
hindu	educated
hindu	fisherman
hindu	history
hindu	civil servant
hindu	successful
hindu	chemistry
hindu	football player
hindu	spicy
hindu	supervisor
hindu	cleaning
hindu	mechanic
hindu	academic
hindu	wedding planner
hindu	vegan
hindu	firefighter
hindu	auditor
hindu	washerman
hindu	electrician
hindu	golfer
hindu	analyst
hindu	poet
hindu	cooking
hindu	fire fighter
hindu	electronics
hindu	music
hindu	dancer
hindu	artist
hindu	guard
hindu	architect
hindu	secretary
hindu	non-vegetarian
hindu	smart
hindu	singer
hindu	home maker
hindu	gardener
hindu	handsome
hindu	detective
hindu	economist
hindu	engineer
hindu	politics
hindu	software developer
hindu	handyman
hindu	caregiving
hindu	poor
hindu	police
hindu	physicist
hindu	art
hindu	business
hindu	law
hindu	prosecuter
hindu	real-estate developer
hindu	science
hindu	rich
hindu	technology
hindu	caring
hindu	middle class
hindu	director
hindu	comedian
hindu	commander
hindu	broker
hindu	teacher
hindu	management
hindu	flight attendant
hindu	beautiful
hindu	guitarist
hindu	powerful
hindu	receptionist
hindu	army
hindu	astronaut
hindu	psychologist
hindu	theologian
hindu	judge
hindu	interior designer
hindu	clerk
hindu	lawyer
hindu	aggressive
hindu	historian
hindu	carpenter
hindu	lifegaurd
hindu	illustrator
hindu	tennis player
hindu	accountant
hindu	musician
hindu	beaurocrat
hindu	cashier
hindu	soldier
hindu	ceo
hindu	chess paler
hindu	security gaurd
hindu	baker
hindu	goldsmith
hindu	courageous
hindu	journalist
hindu	treasurer
hindu	author
hindu	film maker
hindu	pensioner
hindu	enterpreneur
hindu	writer
hindu	strong
hindu	janitor
hindu	salesperson
hindu	physics
hindu	cricketer
hindu	politician
hindu	performing artist
hindu	finance
hindu	producer
hindu	chef
hindu	counselor
hindu	businessperson
hindu	assistant
hindu	brave
hindu	minister
hindu	diplomat
hindu	pilot
hindu	fancy
hindu	editor
hindu	calm
hindu	attorney
hindu	construction worker
hindu	phamacist
hindu	boxer
hindu	bread-winning
hindu	athlete
hindu	fashion designer
hindu	sociologist
hindu	scientist
hindu	painter
hindu	model
hindu	plumber
hindu	humanities
hindu	driver/chauffeur
hindu	waiter
hindu	travelling
hindu	linguist
hindu	manager
hindu	emotional
hindu	cleaner
hindu	priest
hindu	nurse
hindu	actor
hindu	maths
hindu	protective
hindu	composer
hindu	shopping
hindu	consultant
hindu	farmer
hindu	factory worker
hindu	doctor
hindu	dance
hindu	pandit
hindu	restaurateur
hindu	professor
hindu	thin
hindu	dentist
hindu	barber
hindu	coach
hindu	vegetarian
